elapsed_band_index,elapsed_band,u_shape_phase,delayed_peak_phase,calendar_band_index,calendar_band,event_number_cat,org_size,org_size_score,org_size_unknown,employee_size,turnover_size,sector_proxy,entity_kind_group,prior_records_band,events,exposure_days
0,0-90,immediate,immediate_0_90,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,finance,organisation,10k-100k,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,finance,organisation,<1k,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,government,government_body,unknown,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,health,organisation,10k-100k,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,health,organisation,unknown,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,media,organisation,100k+,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,other,organisation,unknown,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,technology,organisation,100k+,0,180
0,0-90,immediate,immediate_0_90,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,technology,organisation,1k-10k,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,technology,other_or_unknown,100k+,0,211
0,0-90,immediate,immediate_0_90,1,2019-2021,2,HUGE,4.0,0,very_large,unknown,finance,organisation,10k-100k,0,180
0,0-90,immediate,immediate_0_90,1,2019-2021,2,HUGE,4.0,0,very_large,unknown,government,government_body,unknown,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,2,HUGE,4.0,0,very_large,unknown,government,organisation,1k-10k,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,2,HUGE,4.0,0,very_large,unknown,telecom_transport,organisation,100k+,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,2,LARGE,3.0,0,unknown,unknown,education,organisation,1k-10k,0,31
0,0-90,immediate,immediate_0_90,1,2019-2021,2,LARGE,3.0,0,very_large,unknown,education,organisation,100k+,0,270
0,0-90,immediate,immediate_0_90,1,2019-2021,2,LARGE,3.0,0,very_large,unknown,government,government_body,unknown,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,2,LARGE,3.0,0,very_large,unknown,government,organisation,unknown,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,2,MEDIUM,2.0,0,small,unknown,technology,organisation,unknown,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,2,UNKNOWN,2.8546875,1,unknown,unknown,government,government_body,unknown,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,3+,LARGE,3.0,0,very_large,unknown,education,organisation,1k-10k,0,90
0,0-90,immediate,immediate_0_90,1,2019-2021,3+,UNKNOWN,2.8546875,1,unknown,unknown,government,government_body,unknown,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,unknown,unknown,government,government_body,1k-10k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,unknown,unknown,industrial,organisation,<1k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,education,organisation,10k-100k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,government,government_body,100k+,0,180
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,government,government_body,10k-100k,0,119
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,government,government_body,1k-10k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,government,government_body,unknown,0,350
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,government,organisation,10k-100k,0,143
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,government,organisation,<1k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,government,organisation,unknown,0,180
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,health,organisation,10k-100k,0,13
